Disease,TB,,,,,,,,,,,,,,Malaria,,,,,,,,,,,,HIV,,,,,,,,,,,,Roundworm,,,Hookworm,,Whipworm,,,Schistosomiasis,Onchocerciasis,LF,,
Company,F. Hoffmann-La Roche Ltd,Pfizer Inc.,Sanofi,Merck,Merck,Pfizer Inc.,Pfizer Inc.,Pfizer Inc.,Bristol-Myers Squibb,Eli Lilly and Company,Daiichi Sankyo,Bayer Healthcare,"Kyorin Pharmaceutical Co., Ltd.",Daiichi Sankyo,Novartis,Sanofi,Chongqing Holley Pharmaceutical Co. Ltd and Sigma Tau Industrie Farmaceutiche,Sanofi,Artepharm,F. Hoffmann-La Roche Ltd,Sanofi,Taisho Pharmaceuticals,Pfizer Inc.,Sanofi,Bayer Healthcare,Imperial Chemical Industries,Shire Pharmaceuticals,GlaxoSmithKline,GlaxoSmithKline,Bristol-Myers Squibb,Bristol-Myers Squibb,Merck,"Gilead Sciences, Inc.",Abbott Laboratories,Boehringer Ingelheim,"Gilead Sciences, Inc.",Bristol-Myers Squibb,Pfizer Inc.,GlaxoSmithKline,Johnson and Johnson,Merck,GlaxoSmithKline,Johnson and Johnson,GlaxoSmithKline,Johnson and Johnson,Merck,Bayer Healthcare,,GlaxoSmithKline,Merck,Pfizer Inc.
 ,Isoniazid (H or INH),Ethambutol (E or EMB),RIfampicin (R or RMP),Pyrazinamide (Z or PZA),Streptomycin (S or STR),Ethionamide (Eto),p-aminosalicylic acid (PAS),Cycloserine (Cs),Amikacin (Amk),Capreomycin (Cm),Levofloxacin (Lfx),Moxifloxacin (Mfx),Gatifloxacin (Gfx),Ofloxacin (Ofx),Artemether-Lumefantrine (AL),Artesunate / Sulfadoxine-pyrimethamine (AS + SP),DHA-Piperaquine (DHA-PPQ),Artesunate/Amodiaquine (AS + AQ),Artemisinin + Piperaquine (ART + PPQ),Sulfadoxine-pyrimethamine (SP),Artesunate+Mefloquine+Primaquine (AS + MQ + PQ),Clarithromycin (CL),Doxycycline (D),Chloroquine + Primaquine (CQ + PQ),Chloroquine (CQ),Proguanil (PG),Lamivudine (3TC),Abacavir (ABC),Zidovudine (AZT),Didanosine (ddl),Stavudine (d4t),Efavirenz (EFV),Emtricitabine (FTC),Lopinavir / Ritonavir (LPV/r),Nevirapine (NVP),Tenofovir (TDF),Atazanafir/Ritonavir (ATV/r),Nelfinavir (NFV),Albendazole (ALB),Mebendazole (MBD),Ivermectin (IVM),Albendazole (ALB),Mebendazole (MBD),Albendazole (ALB),Mebendazole (MBD),Ivermectin (IVM),Praziquantel (PZQ),,Albendazole (ALB),Ivermectin (IVM),Diethylcarbamazine (DEC)
Afghanistan,136786.122,136786.122,136786.122,136786.122,0,0,0,34.53068206,11.51022735,11.51022735,8.632670515,8.632670515,8.632670515,8.632670515,0,4001.120397,0,0,0,0,0,0,0,39109.14776,19554.57388,0,8.664234553,0.007705546,3.560656674,0,3.868143392,3.758511262,0.55076294,0.055364765,5.400325591,1.778491881,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Albania,754.1952963,754.1952963,754.1952963,754.1952963,0,0,0,0.03132572,0.010441907,0.010441907,0.00783143,0.00783143,0.00783143,0.00783143,0,0,0,0,0,0,0,0,0,0,0,0,1.193565691,0.16514341,0.402151383,0,0.626270898,0.368009873,0,0.12544895,0.673865195,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Algeria,25608.27325,25608.27325,25608.27325,25609.5113,1.463553435,4.688157439,4.688157439,28.38756417,7.899802245,7.899802245,10.61300912,5.924851684,5.924851684,5.924851684,0.44082287,0.266241416,0.436761775,0.265834064,0.291007066,0.099798206,0.281913128,0.128758505,0.139265148,0.1,0.052337059,0,949.8273062,6.704686046,388.963639,0,428.4588785,399.9045738,55.62534278,10.08741509,594.4665625,181.3254455,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Andorra,7.95016025,7.95016025,7.95016025,7.95016025,0,0,0,0.006772071,0.002257357,0.002257357,0.001693018,0.001693018,0.001693018,0.001693018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Angola,60499.52897,60499.52897,60499.52897,60499.65137,0.144698597,0.472126491,0.472126491,67.42369691,22.31719014,22.31719014,17.2100191,16.73789261,16.73789261,16.73789261,1703.581282,0,0,0,0,0,0,0,0,0,0,0,14997.10286,193.334139,6101.194942,0,6808.113057,6229.021329,835.9558631,222.2864332,9352.683866,2730.416588,0,0,0,0,0,0,0,0,0,0,604.5404653,,0,0,0
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Antigua and Barbuda,6.956701979,6.956701979,6.956701979,6.956701979,0,0,0,0.008326473,0.002775491,0.002775491,0.002081618,0.002081618,0.002081618,0.002081618,0,0,0,0,0,0,0,0,0,0,0,0,3.64052093,0.087668459,2.950965575,0.017118211,0.174082451,2.406407156,0.250051257,0.467194401,0.632391781,0.694973913,0.391537154,0.010159906,0,0,0,0,0,0,0,0,0,,0,0,0
Argentina,7746.083688,7746.083688,7746.083688,7746.083688,0,0,0,8.324814102,2.774938034,2.774938034,2.081203525,2.081203525,2.081203525,2.081203525,0,0,0,0,0,0,0,0,0,0.980329316,0.490164658,0,351.4047869,8.797887712,280.6097686,0.439227884,17.44313229,242.3021261,25.33937552,38.68523496,56.37284962,70.33260175,39.56243375,0.260745898,0,0,0,0,0,0,0,0,0,,0,0,0
