Disease,TB,,,,,,,,,,,,,,Malaria,,,,,,,,,,,,,,,HIV,,,,,,,,,,,Roundworm,,,Hookworm,,Whipworm,,,Schistosomiasis,Onchocerciasis,LF,,
Company,F. Hoffmann-La Roche Ltd,Pfizer Inc.,Sanofi,Merck,Merck,Pfizer Inc.,Pfizer Inc.,Pfizer Inc.,Bristol-Myers Squibb,Eli Lilly and Company,Daiichi Sankyo,Bayer Healthcare,"Kyorin Pharmaceutical Co., Ltd.",Daiichi Sankyo,Novartis,"Guilin Pharmaceutical Co., Ltd.",Artepharm,Sanofi,Sanofi,Sanofi,Sanofi,Sanofi,GlaxoSmithKline,Bayer Healthcare,Sanofi,Chongqing Holley Pharmaceutical Co. Ltd and Sigma Tau Industrie Farmaceutiche,Taisho Pharmaceuticals,Pfizer Inc.,"Guilin Pharmaceutical Co., Ltd.",Shire Pharmaceuticals,GlaxoSmithKline,GlaxoSmithKline,Bristol-Myers Squibb,Bristol-Myers Squibb,Merck,"Gilead Sciences, Inc.",Abbott Laboratories,Boehringer Ingelheim,"Gilead Sciences, Inc.",Bristol-Myers Squibb,GlaxoSmithKline,Johnson and Johnson,Merck,GlaxoSmithKline,Johnson and Johnson,GlaxoSmithKline,Johnson and Johnson,Merck,Bayer Healthcare,Merck,GlaxoSmithKline,Merck,Pfizer Inc.
 ,Isoniazid (H or INH),Ethambutol (E or EMB),RIfampicin (R or RMP),Pyrazinamide (Z or PZA),Streptomycin (S or STR),Ethionamide (Eto),p-aminosalicylic acid (PAS),Cycloserine (Cs),Amikacin (Amk),Capreomycin (Cm),Levofloxacin (Lfx),Moxifloxacin (Mfx),Gatifloxacin (Gfx),Ofloxacin (Ofx),Artemether-Lumefantrine (AL),Artemether (AM),Artemisinin + Piperaquine (ART + PPQ),Artesunate + Amodiaquine + Primaquine (AS + AQ + PQ),Artesunate/Amodiaquine (AS + AQ),Artesunate + Mefloquine + Primaquine (AS + MQ + PQ),Artesunate / Sulfadoxine-pyrimethamine (AS + SP),Artesunate + Sulfadoxine + Primaquine (AS + SP + PQ),Atovaquone + Proguanil (AT + PG),Chloroquine (CQ),Chloroquine + Primaquine (CQ + PQ),DHA-Piperaquine (DHA-PPQ),Clarithromycin (CL),Doxycycline (D),Artesunate (AS),Lamivudine (3TC),Abacavir (ABC),Zidovudine (AZT),Didanosine (ddl),Stavudine (d4t),Efavirenz (EFV),Emtricitabine (FTC),Lopinavir / Ritonavir (LPV/r),Nevirapine (NVP),Tenofovir (TDF),Atazanafir/Ritonavir (ATV/r),Albendazole (ALB),Mebendazole (MBD),Ivermectin (IVM),Albendazole (ALB),Mebendazole (MBD),Albendazole (ALB),Mebendazole (MBD),Ivermectin (IVM),Praziquantel (PZQ),Ivermectin (IVM),Albendazole (ALB),Ivermectin (IVM),Diethylcarbamazine (DEC)
Afghanistan,104609.1351,104609.1351,104609.1351,104615.6063,6.58560962,8.99099606,8.99099606,148.8292717,46.61275855,46.61275855,43.95056497,34.95956891,34.95956891,34.95956891,0,0,0,0,0,0,0,124.6393561,0,1182.619443,2365.238887,0,0,0,41.1309875,49.43068242,0.544295192,25.10436531,0.119814633,17.48291611,14.61943658,5.124648899,1.37718297,38.71769994,11.66948607,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,231.9334626,231.9334626,231.9334626,231.9334626,0,0,0,0.015702635,0.005234212,0.005234212,0.003925659,0.003925659,0.003925659,0.003925659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,13610.55142,13610.55142,13610.55142,13610.55142,0,0,0,22.82972557,7.609908525,7.609908525,5.707431394,5.707431394,5.707431394,5.707431394,14.92431835,9.179026248,9.772221173,0,8.773631557,10.0650851,8.293515536,9.745780789,9.523712439,23.86911882,3.828476073,14.84966931,4.589513124,4.702400402,20.17896747,59.87273888,0.105490244,29.88405035,0.105490244,21.68269201,17.73220173,6.614703082,1.55471969,47.35550614,15.06400704,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27422786,0.001352871,0.13763306,0.00054799,0.098397383,0.08152659,0.029807086,0.007341213,0.215940047,0.067874422,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159732491,0.000300899,0.079116405,0.000293499,0.057757425,0.048636221,0.018213402,0.004315817,0.125424786,0.041462744,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,80015.82935,80015.82935,80015.82935,80032.73101,17.17370818,20.86155986,20.86155986,259.4694091,79.53594974,79.53594974,80.51352216,59.6519623,59.6519623,59.6519623,260229.0534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4893.790271,96.66608283,2629.698975,13.50498698,1680.215377,1269.761456,399.4834576,123.7379514,3916.294324,911.3661592,0,0,0,0,0,0,0,0,0,669.3311813,1.452557379,30.35146952,30.35146952,0
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,19.86236296,19.86236296,19.86236296,19.86236296,0,0,0,0.036881625,0.012293875,0.012293875,0.009220406,0.009220406,0.009220406,0.009220406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.36438284,2.565030861,15.68496207,0.041473072,0.43116121,20.16607946,5.193901535,4.462682273,3.970302701,14.0740693,3.78073312,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,6064.543752,6064.543752,6064.543752,6064.543752,0,0,0,2.952715539,0.984238513,0.984238513,0.738178885,0.738178885,0.738178885,0.738178885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267.9599377,23.24798184,154.5312805,0.404417137,4.135574272,198.4889322,51.57838274,43.30281818,38.38831244,136.1886985,36.66700474,0,0,0,0,0,0,0,0,0,0,0,0,0
