Diseases,TB,,,,,,,,,,,,,,Malaria,,,,,,,,,,,,,,HIV,,,,,,,,,,,Roundworm,,,Hookworm,,Whipworm,,,Schistosomiasis,Onchocerciasis,LF,,
Companies,F. Hoffmann-La Roche Ltd,Pfizer Inc.,Sanofi,Merck,Merck,Pfizer Inc.,Pfizer Inc.,Pfizer Inc.,Bristol-Myers Squibb,Eli Lilly and Company,Daiichi Sankyo,Bayer Healthcare,"Kyorin Pharmaceutical Co., Ltd.",Daiichi Sankyo,Novartis,"Guilin Pharmaceutical Co., Ltd.",Artepharm,Sanofi,Sanofi,Sanofi,Sanofi,Sanofi,GlaxoSmithKline,Bayer Healthcare,Sanofi,Chongqing Holley Pharmaceutical Co. Ltd and Sigma Tau Industrie Farmaceutiche,Taisho Pharmaceuticals,Pfizer Inc.,Shire Pharmaceuticals,GlaxoSmithKline,GlaxoSmithKline,Bristol-Myers Squibb,Bristol-Myers Squibb,Merck,"Gilead Sciences, Inc.",Abbott Laboratories,Boehringer Ingelheim,Bristol-Myers Squibb,"Gilead Sciences, Inc.",GlaxoSmithKline,Johnson and Johnson,Merck,GlaxoSmithKline,Johnson and Johnson,GlaxoSmithKline,Johnson and Johnson,Merck,Bayer Healthcare,Merck,GlaxoSmithKline,Merck,Pfizer Inc.
Drugs,Isoniazid (H or INH),Ethambutol (E or EMB),RIfampicin (R or RMP),Pyrazinamide (Z or PZA),Streptomycin (S or STR),Ethionamide (Eto),p-aminosalicylic acid (PAS),Cycloserine (Cs),Amikacin (Amk),Capreomycin (Cm),Levofloxacin (Lfx),Moxifloxacin (Mfx),Gatifloxacin (Gfx),Ofloxacin (Ofx),Artemether-Lumefantrine (AL),Artemether (AM),Artemisinin + Piperaquine (ART + PPQ),Artesunate + Amodiaquine + Primaquine (AS + AQ + PQ),Artesunate/Amodiaquine (AS + AQ),Artesunate + Mefloquine + Primaquine (AS + MQ + PQ),Artesunate / Sulfadoxine-pyrimethamine (AS + SP),Artesunate + Sulfadoxine + Primaquine (AS + SP + PQ),Atovaquone + Proguanil (AT + PG),Chloroquine (CQ),Chloroquine + Primaquine (CQ + PQ),DHA-Piperaquine (DHA-PPQ),Clarithromycin (CL),Doxycycline (D),Lamivudine (3TC),Abacavir (ABC),Zidovudine (AZT),Didanosine (ddl),Stavudine (d4t),Efavirenz (EFV),Emtricitabine (FTC),Lopinavir / Ritonavir (LPV/r),Nevirapine (NVP),Atazanafir/Ritonavir (ATV/r),Tenofovir (TDF),Albendazole (ALB),Mebendazole (MBD),Ivermectin (IVM),Albendazole (ALB),Mebendazole (MBD),Albendazole (ALB),Mebendazole (MBD),Ivermectin (IVM),Praziquantel (PZQ),Ivermectin (IVM),Albendazole (ALB),Ivermectin (IVM),Diethylcarbamazine (DEC)
Total,8470126.906,8470126.906,8470126.906,8656522.202,202077.1975,408292.8242,408292.8242,434616.7275,8774.634444,8774.634444,414873.8,6580.975833,6580.975833,6580.975833,12927646.01,9019.564994,14.16167654,3.864600654,9265515.674,3.864600654,65301.25061,461346.9352,0,198214.3912,368865.5247,32372.07068,1299.443622,1579.815452,726553.5729,62804.2883,322247.2746,1784.810507,9174.832523,444912.2859,146759.5017,85896.65593,336061.6719,7984.305819,495557.5137,280520.3241,7576.781277,113182.1315,24225.94591,3360.119047,6784.3536,1850.987684,2086.220951,114408.2062,2790.643018,2484.028959,2238.639466,245.3894933
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,41062.28493,41062.28493,41062.28493,42726.85379,1692.612966,2382.024302,2382.024302,2540.318571,52.76475636,52.76475636,2421.597869,39.57356727,39.57356727,39.57356727,0,0,0,0,0,0,0,1719.978153,0,16317.71815,32635.43629,0,0,0,35.66780209,3.483114137,15.83156254,0.102642227,0.523835752,21.36337968,7.057697955,4.612259383,16.42590132,0.412628284,23.74915871,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,82.10861674,82.10861674,82.10861674,83.89168298,1.825718278,2.436248102,2.436248102,2.598987241,0.05424638,0.05424638,2.476932887,0.040684785,0.040684785,0.040684785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,12878.94964,12878.94964,12878.94964,13075.67795,199.8948837,239.8856095,239.8856095,256.1306354,5.41500864,5.41500864,243.9468659,4.06125648,4.06125648,4.06125648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.1668323,3.71423875,70.80180194,0.088267037,0.455925404,140.0148999,49.1322222,15.75486505,77.09206589,2.513475486,164.9928191,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,6.885215974,6.885215974,6.885215974,6.885215974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,2.009567814,2.009567814,2.009567814,2.009567814,0,0,0,0.00398296,0.001327653,0.001327653,0.00099574,0.00099574,0.00099574,0.00099574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176926889,0.000705924,0.065802484,0,0,0.136883136,0.049825721,0.014843239,0.07224948,0.002776754,0.165287266,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,71185.98757,71185.98757,71185.98757,71185.98757,0,0,0,0,0,0,0,0,0,0,253448.857,0,0,0,0,0,0,0,0,0,0,0,0,0,1085.331064,84.82324472,466.4270296,2.455044855,12.55246681,689.470875,232.3995389,128.1310753,489.156981,13.0924953,780.4091668,0,0,0,0,0,0,0,0,192.2244657,1.246220016,42.33298667,42.33298667,0
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
