2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,,,Malaria,HIV,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,,,,Worms,Schistosomiasis,,Onchocerciasis,,LF,,,Total,
Country,Impact of Active TB/HIV+ Treatment Regimen,Impact of Active TB/HIV- Treatment Regimen,Impact of MDR-TB Treatment Regimen,,,Impact of XDR-TB Treatment Regimen,Total Impact,AL,AL+PQ,AM,ART+NQ,ART + PPQ,AS + AQ,AS+MQ,AS + MQ + PQ,AS + SP,AS + SP + PQ,AT + PG,CQ + PQ,DHA-PPQ,DHA-PPQ+PQ,PQ,QN,CL,D,Total Impact (p.falc),CQ + PQ,CQ,DHA-PPQ,QN,AL,AL+PQ,AS,AS + AQ,AS + AQ + PQ,Total Impact (p.vivax),Total Impact,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of TDF,Impact of ATV/r,Total Impact,Alb,Mbd,Ivm+Alb,Alb,Mbd,Alb,Mbd,Ivm+Alb,Impact of Roundworm,Impact of Hookworm,Impact of Whipworm,Total Impact,PZQ,Total Impact,Impact of Ivermectin,Total Impact,Impact of Single dose of DEC (6mg/kg)+ALB(400mg),Impact of Combination of ALB(400mg)+IVM(400ug/kg),Total Impact,,
Drug,"isoniazid (H or INH), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).","isoniazid (H or INH), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).",Z+S or STR+Lfx+Eto+Cs+PAS,S or STR+Lfx+Eto+Cs+PAS,Km+Lfx+Eto+Cs+PAS,Cs+Km(or)Amk(or)Cm+Lfx(or)Mfx(or)Gfx(or)Ofx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"4,364,284.80","39,005,975.64","43,734.04","1,717.79","20,035.58","55,728.74","43,491,476.59","10,940,106.05","1,581.21","14,092.73",59.91,63.15,"7,960,542.06","18,025.10",790.25,"24,589.11","537,740.84",9.52,"1,715.55","18,358.99","9,474.71","12,948.77","3,271.53",994.83,"1,092.39","19,547,543.90","574,008.30","161,573.61","9,065.96","1,851.99","4,105.55","9,869.37",0,"4,261.77","9,035.50","773,772.03","20,321,315.94","1,657,585.18","23,397.50","864,338.42","3,816.45","565,363.09","485,058.31","162,518.00","49,601.99","1,283,039.54","374,543.94","6,929.70","5,476,192.13","18,701.03",10.56,"5,000.95","9,280.15","1,343.28","2,753.48","1,220.43",723.6,"23,712.54","10,623.43","4,697.51","39,033.48","95,171.88","95,171.88","1,979.86","1,979.86",961.48,920.51,"1,881.99","69,427,051.87","43,472,093.68"
 Afghanistan,321.75,"418,114.79",38.07,0.57,12.03,423.75,"418,910.96",0,0,0,0,0,0,0,0,0,124.64,0,0,0,0,0,0,0,0,124.64,"2,365.24",0,0,0,0,0,0,0,0,"2,365.24","2,489.88",49.43,0.54,25.1,0.12,17.48,14.62,5.12,1.38,38.72,11.67,0,164.19, , , , , , , , ,0,0,0,0,,0,,0,,,0,"421,565.03","418,910.96"
 Albania,12.06,915.68,0,0,0,0.05,927.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,0,0,0,0,,0,,0,,,0,927.78,927.78
 Algeria,"5,184.48","49,257.72",0,0,0,69.18,"54,511.39",10.33,9.18,9.18,9.18,9.77,8.77,10.22,10.07,8.29,9.75,9.52,3.83,10.26,9.18,8.39,9.93,4.59,4.7,164.43,0,21.95,0,0,0,0,0,0,0,21.95,186.39,59.87,0.11,29.88,0.11,21.68,17.73,6.61,1.55,47.36,15.06,0,199.97, , , , , , , , ,0,0,0,0,,0,,0,,,0,"54,897.74","54,511.39"
 American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0.14,0,0.1,0.08,0.03,0.01,0.22,0.07,0,0.91, , , , , , , , ,0,0,0,0,,0,,0,,,0,0.91,0
 Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0.08,0,0.06,0.05,0.02,0,0.13,0.04,0,0.54, , , , , , , , ,0,0,0,0,,0,,0,,,0,0.54,0
 Angola,"25,485.33","294,577.99",99.42,1.36,18.44,723.05,"320,905.59","260,229.05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"260,229.05",0,0,0,0,0,0,0,0,0,0,"260,229.05","4,893.79",96.67,"2,629.70",13.5,"1,680.22","1,269.76",399.48,123.74,"3,916.29",911.37,0,"15,934.52", , , , , , , , ,0,0,0,0,669.33,669.33,1.45,1.45,,60.7,60.7,"597,800.65","320,905.59"
 Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,0,0,0,0,,0,,0,,,0,0,0
