,,,,,,,,,,,,,,,,,,,,,,,,Impact Scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HIV RETENTION RATE (used in Columns I-K),,,,,,,,
,,,,,,,,,,,Overall (Adults & Children),,,Adults,,,Children,,,,,=Col U / Col Q,=Col V / Col T,,,,,,,,,,,,,,,Group A,Group B,,,Group A,Group B,,Group A,,,Group B,,,,,,,,,,,,,,Adult & Children,,Year,Adult,,Year,Children,,Year
Country,WHO Region,Population,Geographical Region,WHO Group,DALY,Adult DALYs,Children DALYs,Retention Rate,Retention Rate (ADULT),Retention Rate (CHILDREN),# Receiving Treatment,# Needing Treatment,% Treatment Coverage,# Receiving Treatment,# Needing Treatment,% Treatment Coverage,"# Receiving 
Treatment","# Needing
 Treatment",% Treatment Coverage,Estimated adults (15+) living with HIV,Estimated children (0-14) living with HIV,# Adult Prevalent Cases Receiving Treatment,# Children Prevalent Cases Receiving Treatment,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of TDF,Impact of ATV/r,Impact of NFV,Overall Treatment Impact,,Low- and Middle-Income Countries excluding region of the Americas,Low- and Middle-Income Countries in the Americas,,Antiretroviral Treatment Breakdown Summary,,,,72.03%,,,,,,,,Originator Company,Drug(s),Final Impact,,,,,Need,,Afghanistan,96,2011,Afghanistan,96,2011,Afghanistan,100,2011
,,,,,,,,max of retention rate and 97.14,max of retention rate and 97.14,max of retention rate and 97.14,,,=Col L / Col M,=Col L - Col R,=Col M - Col S,=Col O / Col P,"452,651",,=Col R / Col S,"47,621,243","4,052,914",29.76%,20.16%,"1,210,432.27","16,508.81","503,417.77",51.80,"539,861.48","505,527.31","66,578.48","20,914.82","745,182.40","217,274.49","3,012.72",30.75,"3,828,793.10",,46 COUNTRIES,20 COUNTRIES,,,92.76%,7.24%,,Treatment Regimen,Proportion (%),Efficacy (%),Treatment Regimen,Proportion (%),Efficacy (%),,,,,,,,,,,,Angola,69,2011,Angola,69,2011,Antigua and Barbuda,82,2011
Afghanistan,EMR,"28,803,167","East, South and South-East Asia",A,"24,041.45","21,733.66","2,307.78",96.00,96,97,46,"1,600",2.88%,45,"1,050",4.29%,1,550,0.18%,"3,500","2,670",150.00,4.85,8.66,0.01,3.56,0.00,3.87,3.76,0.55,0.06,5.40,1.78,0.00,0.00,27.64,,Afghanistan,Anguilla,,ADULTS,93.00%,97.00%,,ADULTS,,,ADULTS,,,,,Shire Pharmaceuticals,3TC,"1,210,432.27",1,,,,"24,041.45",,Armenia,81,2011,Armenia,82,2011,Armenia,75,2011
Albania,EUR,"2,913,021",Europe and Central Asia,A,"2,035.05","1,855.64",179.41,97.14,97,97,145,,0.00%,133,,0.00%,12,,100.00%,,,,,1.19,0.17,0.40,0.00,0.63,0.37,0.00,0.13,0.67,0.00,0.00,0.00,3.55,,Bangladesh,Antigua and Barbuda,,First-Line Regimens,97.10%,69.10%,,First-Line Regimens,100.00%,,First-Line Regimens,100.00%,,,,Boehringer Ingelheim,NVP,"745,182.40",2,,,,"2,035.05",,Antigua and Barbuda,86,2011,Antigua and Barbuda,87,2011,Azerbaijan,100,2011
Algeria,AFR,"36,117,637",Middle East and North Africa,A,"48,627.20","44,733.20","3,894.00",75.00,97,97,"2,012","6,200",32.45%,"1,906","5,700",33.44%,106,500,21.20%,"38,723","2,039","12,948.39",432.31,949.83,6.70,388.96,0.00,428.46,399.90,55.63,10.09,594.47,181.33,0.00,0.00,"3,015.36",,Belarus,Argentina,,Second-Line Regimens,2.90%,27.80%,,d4T + 3TC + NVP,27.70%,72.01%,AZT + 3TC + EFV,42.50%,71.50%,,,GlaxoSmithKline,"ABC, AZT","519,926.58",4,,,,"48,627.20",,Azerbaijan,79,2011,Azerbaijan,78,2011,Bahamas,33,2011
American Samoa,WPR,"55,637",,A,0.00,,,97.14,97,97,,,42.18%,,,42.18%,,,26.96%,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Bhutan,Belize,,Third-Line Regimens,0.05%,3.10%,,AZT + 3TC + NVP,26.80%,77.00%,AZT + 3TC + LPV/r,13.60%,50.00%,,,Bristol-Myers Squibb,"ddl, d4T, ATV/r","542,926.00",3,,,,0.00,,Burundi,91,2011,Burundi,92,2011,Bangladesh,79,2011
Andorra,EUR,"84,449",,A,0.00,,,97.14,97,97,,,42.18%,,,42.18%,,,26.96%,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Bostwana,Bolivia,,,,,,d4T + 3TC + EFV,14.00%,84.00%,AZT + 3TC + NVP,12.00%,77.00%,,,Merck,EFV,"505,527.31",5,,,,0.00,,Belgium,88,2011,Benin,94,2011,Belarus,100,2011
Angola,AFR,"23,369,131",Sub-Saharan Africa,A,"664,303.09","459,335.19","204,967.90",69.00,69,97,"27,931","86,000",32.48%,"26,015","66,000",39.42%,"1,916","20,000",9.58%,"190,000","28,000","74,891.67","2,682.40","14,997.10",193.33,"6,101.19",0.00,"6,808.11","6,229.02",835.96,222.29,"9,352.68","2,730.42",0.00,0.00,"47,470.11",,Burkina Faso,Brazil,,CHILDREN,7.00%,3.00%,,AZT + 3TC + EFV,11.40%,73.67%,AZT + 3TC + ATV/r,6.40%,78.00%,,,"Gilead Sciences, Inc","FTC, TDF","283,852.97",6,,,,"664,303.09",,Benin,93,2011,Bangladesh,85,2011,Benin,87,2011
