,,,,,,,,p. falc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p.vivax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Column E,F",,,,,,,,,
,,,,,,,,,,,,,,,,,NEW Efficacy,,,,,,,,,,,,,,Efficacy,,,,,Estimated Efficacy,,,,,,,,,,,,,,Impact,,,,,,,,,,,,,,,,,,,,,Efficacy,,,,,,,Estimated Efficacy,,,,,,,Impact,,,,,,,,OVERALL IMPACT,,,,,,,,,,,,,,,,,,,,,,Region,Country,Year,% febrile children under 5 receiving any antimalarial treatment,% febrile children under 5 receiving ACT only ,Source,,,REGION AVERAGE ,
Country,WHO Region,Population,1st Line (p.falc.),% febrile children under 5 receiving any antimalarial treatment  ,% febrile children under 5 receiving ACT only ,DALY,Prevalence,% p. falc.,Estimated p. falc. DALY,Estimated p. falc. prevalence (prevalence * % p. falc),# p. falc. treated,# Treated by AL,# Treated by AS+SP,# Treated by DHA-PPQ,# Treated by AS+MQ,# Treated by AS+AQ,AL,AS+SP,DHA-PPQ,AS+MQ,AS+AQ,CQ+PQ,AL+PQ,QN+CL,DHA-PPQ+PQ,ART+NQ,ART+PPQ,QN+D,SP,AS+MQ+PQ,AL,AS+SP,DHA-PPQ ,AS+MQ,AS+AQ,AL,AS+SP,DHA-PPQ,AS+MQ,AS+AQ,CQ+PQ,AL+PQ,QN+CL,DHA-PPQ+PQ,ART+NQ,ART+PPQ,QN+D,SP,AS+MQ+PQ,Impact of AL,Impact of AS+SP,Impact of DHA-PPQ,Impact of AS+MQ,Impact of AS+AQ,Impact of CQ+PQ,Impact of AL+PQ,Impact of QN+CL,Impact of DHA-PPQ+PQ,Impact of ART+NQ,Impact of ART+PPQ,Impact of QN+D,Impact of SP,Impact of AS+MQ+PQ,IMPACT of P.falc,,1st Line (p.vivax.),% p. vivax,Estimated p. vivax DALY,Estimated p. vivax prevalence,p. vivax treatment coverage,CQ+PQ,AL,AL+PQ,CQ,AS+AQ,DHA-PPQ+PQ,CQ+PG,CQ+PQ,AL,AL+PQ,CQ,AS+AQ,DHA-PPQ+PQ,CQ+PG,CQ+PQ,AL,AL+PQ,CQ,AS+AQ,DHA-PPQ+PQ,CQ+PG,IMPACT of P.VIVAX,,Company,Drug(s),Final Impact,,used in column AB-AF,,,,,,,,,,,,,,,,,AFR,Angola,2006-2007,29.30%,1.60%,MIS 2006-2007,,REGION, receiving any antimalarial treatment  ,5 receiving ACT only 
,,,* = NO P.FALC. 1ST / 2ND LINE FOR THIS COUNTRY,"UNICEF global databases 2015 based on DHS, MICS, Malaria Indicator Surveys (MIS) and other national household surveys.","UNICEF global databases 2015 based on DHS, MICS, Malaria Indicator Surveys (MIS) and other national household surveys.",,,,,Col H * Col I,Col F * Col K,"if Col D includes AL, Col L * (1 / # of treatment regimens)","if Col D includes AS+SP, Col L * (1 / # of treatment regimens)",,"if Col D includes AS+MQ, Col L * (1 / # of treatment regimens)","if Col D includes AS+AQ, Col L * (1 / # of treatment regimens)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Col J * Col F* Col AF/(1-Col F* Col AF,Col J * Col F* Col AG/(1-Col F* Col AG,Col J * Col F* Col AH/(1-Col F* Col AH,Col J * Col F* Col AI/(1-Col F* Col AI,Col J * Col F* Col AJ/(1-Col F* Col AJ,,DO NOT include into website (average of global average),,,,,,,,Col AY + Col AZ+ Col BA+ Col BB+ Col BC,,* = NO P.FALC. 1ST / 2ND LINE FOR THIS COUNTRY,, Col G* ColBP, Col H* ColBP, Col Eif  Col AC = CQ+PQ,,,,,,,,,,,,,,,,,,,,,, Col BQ* ColBS* ColCA/(1- ColBS* ColCA),, ,,,,,,AL,AS+SP,DHA-PPQ ,AS+MQ,AS+ AQ,CQ+PQ,AL+PQ,QN+CL,DHA-PPQ+PQ,ART+NQ,art+ppq,QN+D,SP,AS+MQ+PQ,,EUR,Azerbaijan,2000,0.80%,0.00%,MICS 2000,,AFR,33.38%,11.04%
,,,,16.34%,6.32%,"81,553,992.71","25,734,630.00",,"77,294,165.75","22,301,016.40","30,209.37","20,146.20","1,609.19",3.31,48.21,"8,319.45",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,42.20%,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,97.65%,99.06%,97.68%,99.89%,94.61%,,,,,,,DO NOT include into website (average of global average),,,,,,,,0.00,0.00,0.00,0.00,0.00,552.96,404.40,550.15,"4,033.21",19.01,0.00,0.00,0.00,0.00,"5,559.72",,,,"4,091,805.22","3,367,180.38",16.34%,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,"red is average of global average, do not include into website",,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"5,559.72",,,,,Regional Average Efficacy,AMR,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,0.00%,0.00%,,,AMR,2.80%,0.00%
Afghanistan,EMR,"28,803,167",AS+SP,18.78%,5.60%,"203,229.00","69,397",9.00%,"18,290.61","6,245.73",3.50,,3.50,,,,,,,,,,,,,,,,,,,100.00%,,,71.60%,,,,,,42.20%,42.20%,42.20%,42.20%,42.20%,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,CQ+PQ,93%,"189,002.97","64,539.21",18.78%,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Novartis,AL,0.00,,,AFR,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,AFR,Benin,2006,54.00%,0.40%,DHS 2006,,EMR,18.78%,5.60%
Albania,EUR,"2,913,021",,22.38%,7.04%,3.62,,0.00%,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.20%,42.20%,42.20%,42.20%,42.20%,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,22.38%,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sanofi,AS+AQ; AS+SP; CQ+PQ; AS+MQ+PQ,552.96,,,EMR,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,AFR,Burkina Faso,2010,35.10%,8.70%,DHS 2010,,SEA,4.63%,0.27%
Algeria,AFR,"36,117,637",*,33.38%,11.04%,9.12,1,98.00%,8.94,0.98,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.20%,42.20%,42.20%,42.20%,42.20%,,,,,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.52,,CQ,0%,0.00,0.00,33.38%,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.52,Bayer Healthcare,CQ,0.00,,,EUR,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,AFR,Burundi,2010,17.20%,12.00%,DHS 2010,,WPR,5.74%,0.12%
American Samoa,WPR,"55,637",,5.74%,0.12%,,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.20%,42.20%,42.20%,42.20%,42.20%,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,5.74%,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Public Sector,AS+MQ,0.00,,,WPR,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,WPR,Cambodia,2010,0.30%,0.00%,DHS 2010,,GLOBAL AVERAGE,22.38%,7.04%
Andorra,EUR,"84,449",,22.38%,7.04%,0.06,,0.00%,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.20%,42.20%,42.20%,42.20%,42.20%,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,22.38%,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Chongqing Tonghe Pharmaceutical Co. Ltd.,DHA-PPQ,0.00,,,SEA,0.00%,0.00%,0.00%,0.00%,0.00%,42.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,AFR,Cameroon,2006,57.80%,1.50%,MICS 2006,,,,
