,,,,,,,,p.falc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p.vivax,,,,,,,,,,,,,,,,,,,,,,,,TOTAL IMPACT,,,,,New DALY 2015 Data,,,,,Country,WHO Region,Used in Col I,Used in Col CI,,Region,Countries and areas,Year(s) of data collection,% febrile children under 5 receiving any antimalarial treatment  ,% febrile children under 5 receiving ACT only ,Source,,,REGION AVERAGE ,
,,,,,,,,,,,,NEW EFFICACY,,,,,,,,,,,,,,,,,,EFFICACY,,,,,,,,,,,,,,,,,,ESTIMATED EFFICACY,,,,,,,,,,,,,,,,,,IMPACT,,,,,,,,,,,,,,,,,,,,,,,,Efficacy,,,,,,Estimated Efficacy,,,,,,Impact,,,,,,,,,,,,,,,,,,,% p. falc,% p. vivax,,EMR,Afghanistan,2015,11.80%,4.00%,DHS KIR _2015,,REGION, receiving any antimalarial treatment  ,5 receiving ACT only 
Country,WHO Region,Population,1st Line (p.falc.),% febrile children under 5 receiving any antimalarial treatment  ,% febrile children under 5 receiving ACT only ,DALY,Prevalence,% p. falc.,Estimated p. falc. DALY,Estimated p. falc. prevalence (prevalence * % p. falc),# p. falc. treated,AL,AL+PQ,AM,ART+NQ,ART+PPQ,AS+AQ,AS+MQ,AS+MQ+PQ,AS+SP,AS+SP+PQ,AT+PG,CQ+PQ,DHA-PPQ,DHA-PPQ+PQ,PQ,QN,QN+CL,QN+D,AL,AL+PQ,AM,ART+NQ,ART+PPQ,AS+AQ,AS+MQ,AS+MQ+PQ,AS+SP,AS+SP+PQ,AT+PG,CQ+PQ,DHA-PPQ,DHA-PPQ+PQ,PQ,QN,QN+CL,QN+D,AL,AL+PQ,AM,ART+NQ,ART+PPQ,AS+AQ,AS+MQ,AS+MQ+PQ,AS+SP,AS+SP+PQ,AT+PG,CQ+PQ,DHA-PPQ,DHA-PPQ+PQ,PQ,QN,QN+CL,QN+D,AL,AL+PQ,AM,ART+NQ,ART+PPQ,AS+AQ,AS+MQ,AS+MQ+PQ,AS+SP,AS+SP+PQ,AT+PG,CQ+PQ,DHA-PPQ,DHA-PPQ+PQ,PQ,QN,QN+CL,QN+D,IMPACT of P.falc, ,% p. vivax,Est p. vivax. DALY,Est p. vivax. prevalence,coverage of CQ+PQ,CQ+PQ,CQ,DHA-PPQ,AL,AS+AQ+PQ,AL+PQ,CQ+PQ,CQ,DHA-PPQ,AL,AS+AQ+PQ,AL+PQ,CQ+PQ,CQ,DHA-PPQ,AL,AS+AQ+PQ,AL+PQ,IMPACT of P.VIVAX,,Company,Drug(s),Final Impact,,,,,,,,,,,,AFR,Chad,2015,26.90%,10.00%,WorldDataBank2015,,AFR,17.77%,30.42%
,,,* = NO P.FALC. 1ST / 2ND LINE FOR THIS COUNTRY,"UNICEF global databases 2015 based on DHS, MICS, Malaria Indicator Surveys (MIS) and other national household surveys.","UNICEF global databases 2015 based on DHS, MICS, Malaria Indicator Surveys (MIS) and other national household surveys.",,,,,Col H * Col I,Col F * Col K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,* = NO P.FALC. 1ST / 2ND LINE FOR THIS COUNTRY,, Col G* ColCI, Col H* ColCI, Col Eif  Col AC = CQ+PQ,,,,,,,,,,,,,,,,,,, Col CJ* ColCL* ColCS/(1- ColCL* ColCS),, ,,,,Country,sex,age,DALY Total,,,,,,,AMR,Guatemala,2015-2015,0.40%,0.00%,WorldDataBank2015,,AMR,0.40%,26.36%
,,,,,,"55,757,351.77","77,928,177.00",,"53,300,365.62","75,813,013.32","26,457,803.14",0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,do not include red into website,,"12,918,639.54","10,928.38","9,018.93",13.45,14.16,"9,265,515.67","15,857.37",3.86,"65,301.25","461,346.94",0.00,9.28,"20,715.41","12,905.08","8,273.23",5.64,"2,598.73","3,159.63","23,055,293.90",,,"2,412,524.66","2,082,821.11",,,,,,,,0%,,,,,,"368,856.24","13,781.63","5,204.12",194.46,"1,944.29","6,626.21","396,606.95",,,,,,Afghanistan,Both,All Ages,277055.2669,,Afghanistan,EMR,5.00%,95.00%,,AFR,Kenya,2015,27.10%,92.00%,MIS_2015,,EMR,11.80%,4.00%
Afghanistan,EMR,"33,736,494",AS+SP+PQ,11.80%,4.00%,"277,055.27","61,362",5%,"13,852.76","3,068.10",122.72,100.00%,,,,,,,,,,,,100.00%,,,,,,,,,,,71.60%,,,100.00%,,,,,,,,,,99.68%,100.00%,89.40%,89.75%,93.80%,71.60%,97.23%,96.00%,100.00%,93.60%,95.96%,42.20%,100.00%,84.40%,83.00%,94.17%,89.75%,91.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1719.978153,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,719.98",CQ+PQ,95%,"263,202.50","58,293.90",11.80%,,100.00%,100.00%,100.00%,,,93.49%,100.00%,100.00%,100.00%,97.40%,97.00%,"32,635.44",0.00,0.00,0.00,0.00,0.00,"32,635.44","34,355.41",Novartis,AL,"12,918,834.00",,African Union,Both,All Ages,"50,043,852.46",,Albania,EUR,,,,AFR,Malawi,2015-2015,0.00%,92.00%,DHS KFR_2015-2015,,SEA,16.10%,0.00%
Albania,EUR,"2,880,703",,16.10%,26.36%,0.00,non-malaria endemic,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.44%,100.00%,89.40%,89.75%,93.80%,89.00%,97.23%,96.00%,89.53%,93.60%,100.00%,42.20%,98.33%,84.40%,83.00%,94.17%,89.75%,91.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,16.10%,,,,,,,100.00%,95.85%,96.90%,88.69%,97.40%,97.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sanofi,AS+AQ; AS+SP; CQ+PQ; AS+SP+PQ; AS+MQ+PQ,"10,162,977.54",,Albania,Both,All Ages,2.80E-06,,Algeria,AFR,0.00%,0.00%,,AFR,Mali,2015,0.00%,33.00%,EIP_2015,,WPR,16.10%,0.00%
Algeria,AFR,"39,871,528",*,17.77%,30.42%,242.21,0,0%,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.00%,100.00%,89.40%,89.75%,93.80%,88.00%,97.12%,96.00%,82.25%,93.60%,91.91%,42.20%,97.62%,84.40%,83.00%,95.00%,89.75%,91.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,CQ,0%,0.00,0.00,17.77%,,,,,,,97.00%,86.83%,96.90%,49.85%,97.40%,97.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Chongqing Tonghe Pharmaceutical Co. Ltd.,DHA-PPQ,"25,919.53",,Algeria,Both,All Ages,242.21,,American Samoa,WPR,,,,AFR,Mali,2015,28.70%,8.00%,MICS KFR_2015,,GLOBAL AVERAGE,16.10%,26.36%
American Samoa,WPR,"55,537",,16.10%,26.36%,0.83,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.56%,100.00%,89.40%,89.75%,93.80%,85.00%,97.23%,96.00%,89.53%,93.60%,100.00%,42.20%,99.40%,84.40%,83.00%,94.17%,89.75%,91.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,16.10%,,,,,,,98.08%,81.20%,97.92%,93.83%,97.40%,97.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Public Sector,AS+MQ,"15,857.37",,American Samoa,Both,All Ages,0.83,,Andorra,EUR,,,,AFR,Mauritania,2015,0.00%,8.00%,MICS KFR_2015,,,,
Andorra,EUR,"78,014",,16.10%,26.36%,0.00,non-malaria endemic,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.44%,100.00%,89.40%,89.75%,93.80%,89.00%,97.23%,96.00%,89.53%,93.60%,100.00%,42.20%,98.33%,84.40%,83.00%,94.17%,89.75%,91.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,16.10%,,,,,,,100.00%,95.85%,96.90%,88.69%,97.40%,97.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Bayer Healthcare,CQ,"13,781.63",,Andean Latin America,Both,All Ages,"2,173.17",,Angola,AFR,100.00%,0.00%,,AFR,Nigeria,2015,41.20%,0.00%,DHS/MIS KIR_2015-2016,,,,
Angola,AFR,"27,859,305",AL,17.77%,30.42%,"1,272,263.88","2,298,979",100%,"1,272,263.88","2,298,979.00","699,272.78",92.80%,,,,,,,,,,,,99.65%,,,,,,93.50%,,,,,98.80%,,,98.80%,,,,,,,,,,93.50%,100.00%,89.40%,89.75%,93.80%,98.80%,97.12%,96.00%,98.80%,93.60%,91.91%,42.20%,97.62%,84.40%,83.00%,95.00%,89.75%,91.00%,"253,448.86",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"253,448.86",*,0%,0.00,0.00,17.77%,,,,,,,97.00%,86.83%,96.90%,49.85%,97.40%,97.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"253,448.86","Guilin Pharmaceutical Co., Ltd",AM,"9,018.93",,Andorra,Both,All Ages,1.05E-07,,Anguilla,AMR,,,,AFR,Rwanda,2015,11.40%,0.00%,WorldDataBank2015,,,,
Anguilla,AMR,"14,723",,0.40%,26.36%,,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.15%,100.00%,89.40%,89.75%,93.80%,100.00%,96.38%,96.00%,98.00%,93.60%,95.96%,42.20%,98.33%,84.40%,83.00%,94.17%,89.75%,91.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.40%,,,,,,,98.23%,90.12%,96.90%,96.70%,97.40%,97.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Pfizer,D ,1579.815452,,Angola,Both,All Ages,"1,272,263.88",,Antigua and Barbuda,AMR,,,,AFR,Uganda,2015,76.90%,0.00%,WorldDataBank2015,,,,
Antigua and Barbuda,AMR,"99,923",,0.40%,26.36%,0.00,non-malaria endemic,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.15%,100.00%,89.40%,89.75%,93.80%,100.00%,96.38%,96.00%,98.00%,93.60%,95.96%,42.20%,98.33%,84.40%,83.00%,94.17%,89.75%,91.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,0.40%,,,,,,,98.23%,90.12%,96.90%,96.70%,97.40%,97.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Taisho Pharmaceuticals,CL,"1,299.36",,Antigua and Barbuda,Both,All Ages,1.70E-07,,Argentina,AMR,,,,AFR,Tanzania,2015-2016,0.00%,85.00%,,,,,
Argentina,AMR,"43,417,765",AL+PQ,0.40%,26.36%,216.76,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.15%,100.00%,89.40%,89.75%,93.80%,100.00%,96.38%,96.00%,98.00%,93.60%,95.96%,42.20%,98.33%,84.40%,83.00%,94.17%,89.75%,91.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.40%,,,,,,,98.23%,90.12%,96.90%,96.70%,97.40%,97.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Artepharm,ART+PPQ,14.16,,Argentina,Both,All Ages,216.76,,Armenia,EUR,,,,AFR,Zimbabwe,2015,1.00%,0.00%,WorldDataBank2015,,,,
Armenia,EUR,"2,916,950",*,16.10%,26.36%,0.00,non-malaria endemic,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.44%,100.00%,89.40%,89.75%,93.80%,89.00%,97.23%,96.00%,89.53%,93.60%,100.00%,42.20%,98.33%,84.40%,83.00%,94.17%,89.75%,91.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,16.10%,,,,,,,100.00%,95.85%,96.90%,88.69%,97.40%,97.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,GlaxoSmithKline,AT+PG,0.00,,Armenia,Both,All Ages,7.46E-06,,Aruba,AMR,,,,AFR,Congo,2015,0.00%,37.00%,MICS KFR_2014-2015,,,,
Aruba,AMR,"104,341",,0.40%,26.36%,,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.15%,100.00%,89.40%,89.75%,93.80%,100.00%,96.38%,96.00%,98.00%,93.60%,95.96%,42.20%,98.33%,84.40%,83.00%,94.17%,89.75%,91.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.40%,,,,,,,98.23%,90.12%,96.90%,96.70%,97.40%,97.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Total,"23,149,282.33",,Australasia,Both,All Ages,4.29E-05,,Australia,WPR,,,,,,,,,,,,,
Australia,WPR,"23,789,338",,16.10%,26.36%,0.00,non-malaria endemic,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.56%,100.00%,89.40%,89.75%,93.80%,85.00%,97.23%,96.00%,89.53%,93.60%,100.00%,42.20%,99.40%,84.40%,83.00%,94.17%,89.75%,91.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,16.10%,,,,,,,98.08%,81.20%,97.92%,93.83%,97.40%,97.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,Australia,Both,All Ages,3.60E-05,,Austria,EUR,,,,,,,,,,,,,
Austria,EUR,"8,633,169",,16.10%,26.36%,0.00,non-malaria endemic,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.44%,100.00%,89.40%,89.75%,93.80%,89.00%,97.23%,96.00%,89.53%,93.60%,100.00%,42.20%,98.33%,84.40%,83.00%,94.17%,89.75%,91.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,16.10%,,,,,,,100.00%,95.85%,96.90%,88.69%,97.40%,97.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,P. falciparum,,,,Austria,Both,All Ages,1.09E-05,,Azerbaijan,EUR,,,,,,,,,,,,,
Azerbaijan,EUR,"9,649,341",AS+SP,16.10%,26.36%,72.21,non-malaria endemic,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.44%,100.00%,89.40%,89.75%,93.80%,89.00%,97.23%,96.00%,89.53%,93.60%,100.00%,42.20%,98.33%,84.40%,83.00%,94.17%,89.75%,91.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,16.10%,100.00%,,,,,,100.00%,95.85%,96.90%,88.69%,97.40%,97.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Region,WHO Region Code,% P. falc.,,Azerbaijan,Both,All Ages,7220.83%,,Bahamas,AMR,,,,,,,,,,,,,
Bahamas,AMR,"386,838",,0.40%,26.36%,0.00,non-malaria endemic,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.15%,100.00%,89.40%,89.75%,93.80%,100.00%,96.38%,96.00%,98.00%,93.60%,95.96%,42.20%,98.33%,84.40%,83.00%,94.17%,89.75%,91.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,0.40%,,,,,,,98.23%,90.12%,96.90%,96.70%,97.40%,97.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Africa,AFR,98.00%,,Bahrain,Both,All Ages,3.05E-05,,Bahrain,EMR,,,,,,,,,,,,,
Bahrain,EMR,"1,371,855",,11.80%,4.00%,0.00,non-malaria endemic,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.68%,100.00%,89.40%,89.75%,93.80%,89.00%,97.23%,96.00%,95.60%,93.60%,95.96%,42.20%,100.00%,84.40%,83.00%,94.17%,89.75%,91.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,11.80%,,,,,,,93.49%,100.00%,99.55%,100.00%,97.40%,97.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Americas,AMR,34.00%,,Bangladesh,Both,All Ages,13950678.55%,,Bangladesh,SEA,93.00%,7.00%,,,,,,,,,,,
