,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Original,,,,Fallback,,,,,,,,,53.22%,,,,,
"This model considers three variations of TB: Drug-Susceptible TB, Multi Drug-Resistant (MDR) TB and Extensively Drug-Resistant (XDR) TB. Totally Drug-Resistant (TDR) cases are currently not modeled given the very minimal number of cases reported so far in India, Iran and Italy. See cell comments for details.",,,,,,,,,,,,Data Used for DS-TB Calculations,,,,,,,,,,,Drug-Susceptible TB Calculations,,,,,,,,,MDR-TB Calculations,,,,,,,,,,,,,,,,XDR-TB Calculations,,,,,,Total TB Treatment Impact,previously treated cases resistance rates,,new MDR-TB cases resistance rates,,previously treated cases resistance rates estimate,,new MDR-TB cases resistance rates estimate,,previously treated cases portion of drug combination estimate ,,,new MDR-TB cases drug combination portion of total percent of MDR-TB cases of those with DST estimate ,,,weighted average drug combination  drug combination  estimate,,,,
,WHO Region,Population,DALY,Treatment Regimens,,,,,Company,Drug(s),Final Impact,TB Prevalence,TB Incidence,% TB Cases With Known HIV Status,TB Cases With Known HIV Status,TB/ HIV+,% TB Incidence With Known HIV Status,# TB Incidence With Known HIV Status,TB/HIV+ Among Incident Cases With Known HIV Status,TB/HIV- Among Incident Cases With Known HIV Status,TB/HIV+ Proportion,`TB/HIV- Proportion,Total Incident Drug Susceptible TB,Incident cases that are TB/HIV+,Incident cases that are TB/HIV-,Total DALYS Lost to Drug Susceptible TB/HIV+,Total DALYs Lost to Drug Susceptible TB/HIV-,Treatment Coverage for TB / HIV+,Treatment Coverage for TB / HIV-,Impact of Active TB/HIV+ Treatment Regimen,Impact of Active TB/HIV- Treatment Regimen,MDR-TB Incidence,New cases that have MDR-TB,% of new cases that have MDR-TB,retreatment cases that have MDR-TB,% of retreatment cases that have MDR-TB,Estimated new cases (any type),Estimated Retreatment Cases (any type),Weighted average of proportion of new and retreatment cases that have MDR-TB,# MDR-TB Needing Treatment,# MDR-TB Receiving Treatment,Treatment Coverage for MDR-TB,DALYs Lost to MDR-TB,Impact of MDR-TB Treatment Regimen,Impact of MDR-TB Treatment Regimen,,,XDR-TB Incidence,# XDR-TB Needing Treatment,# XDR-TB Receiving Treatment,Treatment Coverage for XDR-TB,DALYs lost to XDR-TB,Impact of XDR-TB Treatment Regimen,,H+R+E+S,Multidrug,H+R+E+S,Multidrug,H+R+E+S,Multidrug,H+R+E+S,Multidrug,Z+S+Lfx+Eto+Cs+PAS,S+Lfx+Eto+Cs+PAS,Km+Lfx+Eto+Cs+PAS,Z+S+Lfx+Eto+Cs+PAS,S+Lfx+Eto+Cs+PAS,Km+Lfx+Eto+Cs+PAS,Z+S+Lfx+Eto+Cs+PAS,S+Lfx+Eto+Cs+PAS,Km+Lfx+Eto+Cs+PAS,,
,,,"49,601,144.66",Latent TB/ HIV+,Active TB/ HIV+,Latent TB/ HIV-,Active TB/ HIV-,,,,,e_prev_num,e_inc_num,TB patients with known HIV status (%),hiv_test,hivtest_pos,"= Col O, else Cell L28",= Col R * Col N,= [Col Q / Col P] * Col S,= Col S - Col T,= Col T / Col S,= Col U / Col S,= [Col N - Col AG] - Col AW,= Col X * Col V,= Col X * Col W,( Col D - Col AR - Col BA) * Col V,( Col D - Col AR - Col BA) * Col W,= Cell L39,= Cell L39,2HRZE/4HR,2HRZE/4HR,(Col AN * Col N) - Col AW,mdr_new,e_new_mdr_pcnt,mdr_ret,e_ret_mdr_pcnt,= Col AH / Col AI,= Col AJ / Col AK,,= Col AN * Col M,conf_mdr_tx,= Col AP / Col AO,(Col AN * Col D) - Col BA,((-col AR*((1-M$25)-1)) *(col AS/((1-col AR)+(col AR*(1-M$25)))))/2,Z+S+Lfx+Eto+Cs+PAS,S+Lfx+Eto+Cs+PAS,Km+Lfx+Eto+Cs+PAS,Col AN * Col N * Cell L31,Cell L31 * Col AO,= Col AX * Col AZ,= Cell M38,Col AN * Col D * Cell L31,Col AW * Col AZ * Cell L26 * Cell L73,,,,,,"use region average if  the region has data; OW, use global average","use region average if  the region has data; OW, use global average","use region average if  the region has data; OW, use global average","use region average if  the region has data; OW, use global average",1 ,2 ,3 ,1,2,3,1 ,2 ,3 ,,
Afghanistan,EMR,"28,803,167","424,662.00",IPT,,IPT,,,Pfizer Inc,"E, Cs, PAS, Eto","13,422,970.70","93,000.0","53,000.0",18%,"5,170",2,18.00%,"9,540",4,"9,536",0.04%,99.96%,"49,471.67",19.14,"49,452.53",153.34,"396,237.92",65.90%,65.90%,138.45,"547,006.04","3,210.78",13,6.10%,6,8.30%,213.11,72.29,6.66%,"6,191",0,0.00%,"25,726.37",0.00,0.00,0.00,0.00,317.55,557,212,38.00%,"2,544.37",104.64,"547,249.13",,,,,23.28%,32.34%,1.24%,1.45%,20%,3.12%,76.72%,40%,6.16%,54.06%,28.47%,4.41%,67.12%,100.00%,A
Albania,EUR,"2,913,021","2,210.93",IPT,2HRZE/4HR,IPT,2HRZE/4HR,,Merck,"S, Z","13,401,302.83",730.0,490.0,42%,186,0,42.00%,206,0,206,0.00%,100.00%,484.32,0.00,484.32,0.00,"2,185.28",65.90%,65.90%,0.00,"3,016.78",5.17,1,0.58%,1,0.00%,172.41,,1.16%,8,0,0.00%,23.34,0.00,0.00,0.00,0.00,0.51,1,0,38.00%,2.31,0.09,"3,016.88",,,,,14.08%,20.62%,2.88%,4.78%,25%,3.93%,70.68%,37%,5.74%,57.16%,37.09%,5.74%,57.16%,100.00%,A
Algeria,AFR,"36,117,637","100,018.00",IPT,2HRZE/4HR,,2HRZE/4HR,,F. Hoffmann-La Roche Ltd,H,"13,398,454.29","50,000.0","28,000.0",,,,34.00%,"9,520","2,190","7,330",23.00%,77.00%,"22,568.13","5,190.67","17,377.46","18,541.44","62,073.53",65.90%,65.90%,"16,740.65","85,692.45","4,943.00",,1.40%,,9.10%,,,19.40%,"9,700",56,0.58%,"17,656.75",24.53,7.28,1.13,16.12,488.87,873,332,38.00%,"1,746.27",71.82,"102,529.44",,,,,10.53%,10.45%,1.50%,2.12%,28%,4.37%,67.43%,39%,6.09%,54.59%,29.69%,4.60%,65.72%,100.00%,A
American Samoa,WPR,"55,637",,IPT,2HRZE/4HR,IPT,2HRZE/4HR,,Sanofi,R,"13,398,454.29",6.0,5.0,,3,0,34.00%,2,0,2,0.00%,100.00%,4.03,0.00,4.03,0.00,0.00,65.90%,65.90%,0.00,0.00,0.88,0,4.50%,0,24.00%,,,19.40%,1,0,0.00%,0.00,0.00,0.00,0.00,0.00,0.09,0,0,38.00%,0.00,0.00,0.00,,,,,5.08%,13.36%,0.84%,2.79%,34%,5.26%,60.73%,40%,6.27%,53.24%,35.03%,5.42%,59.55%,100.00%,A
Andorra,EUR,"84,449",28.58,IPT,2HRZE/4HR,IPT,2HRZE/4HR,,Daichii Sankyo,"Ofx, Lfx","9,797.42",12.0,8.0,,0,0,34.00%,3,,3,0.00%,100.00%,6.45,0.00,6.45,0.00,23.04,65.90%,65.90%,0.00,31.80,1.41,0,0.00%,0,0.00%,,,19.40%,2,0,0.00%,5.05,0.00,0.00,0.00,0.00,0.14,0,0,38.00%,0.50,0.02,31.82,,,0.00%,0.00%,14.08%,20.62%,2.88%,4.78%,25%,3.93%,70.68%,37%,5.74%,57.16%,,,,0.00%,A
Angola,AFR,"23,369,131","282,554.00",IPT,,,,,Eli Lilly,Cm,"3,250.56","75,000.0","82,000.0",5%,"2,434","1,620",4.90%,"4,018","2,674","1,344",66.56%,33.44%,"66,092.38","43,989.18","22,103.20","151,577.06","76,162.79",65.90%,65.90%,"136,855.46","105,142.66","14,475.93",,1.90%,,20.00%,,,19.40%,"14,550",3,0.02%,"49,880.88",2.47,0.72,0.11,1.64,"1,431.69","1,309",498,38.00%,"4,933.27",202.88,"242,203.47",,,,,10.53%,10.45%,1.50%,2.12%,28%,4.37%,67.43%,39%,6.09%,54.59%,29.17%,4.52%,66.32%,100.00%,A
