,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,431,891.66",357972.9156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Drug-Susceptible TB Calculations,,,,,,,,,MDR-TB Calculations,,,,,,,,,,,,,,,,XDR-TB Calculations,,,,,,"Total Impact of XDR-TB, MDR-TB, TB/HIV+ and TB/HIV-",previously treated cases resistance rates,,,new MDR-TB cases resistance rates,,,previously treated cases resistance rates estimate,,,new MDR-TB cases resistance rates estimate,,,Previously Treated,,,,,,Newly Treated,,,,,,previously treated cases portion of drug combination estimate ,,,new MDR-TB cases drug combination portion of total percent of MDR-TB cases of those with DST estimate ,,,weighted average drug combination  drug combination  estimate,,,,,,,,,,,,,,,,,,,,
Country,WHO Region,Population,DALY,Treatment Regimens,,,,,Company,Drug(s),Final Impact,TB Prevalence,TB Incidence,% TB Cases With Known HIV Status,TB Cases With Known HIV Status,TB/ HIV+ ,% TB Incidence With Known HIV Status,# TB Incidence With Known HIV Status,TB/HIV+ Among Incident Cases With Known HIV Status,TB/HIV- Among Incident Cases With Known HIV Status,TB/HIV+ Proportion,TB/HIV- Proportion,Total Incident Drug Susceptible TB,Incident cases that are TB/HIV+,Incident cases that are TB/HIV-,Total DALYS Lost to Drug Susceptible TB/HIV+,Total DALYs Lost to Drug Susceptible TB/HIV-,Treatment Coverage for TB / HIV+,Treatment Coverage for TB / HIV-,Impact of Active TB/HIV+ Treatment Regimen,Impact of Active TB/HIV- Treatment Regimen,MDR-TB Incidence,Number of new cases that have MDR-TB,Fractional % of new cases that have MDR-TB,Number of retreatment cases that have MDR-TB,Fractional % of retreatment cases that have MDR-TB,Estimated new cases (any type),Estimated Retreatment Cases (any type),Weighted average of proportion of new and retreatment cases that have MDR-TB,# MDR-TB Needing Treatment,# MDR-TB Receiving Treatment,Treatment Coverage for MDR-TB,DALYs Lost to MDR-TB,Impact of MDR-TB Treatment Regimen,Impact of MDR-TB Treatment Regimen,,,XDR-TB Incidence,# XDR-TB Needing Treatment,# XDR-TB Receiving Treatment,Treatment Coverage for XDR-TB,DALYs lost to XDR-TB,Impact of XDR-TB Treatment Regimen,,H+R,"
H+R+E+S",Multidrug,H+R,H+R+E+S,Multidrug,H+R,H+R+E+S,Multidrug,H+R,H+R+E+S,Multidrug,"H+R, only",H+R+E without Z,H+R+E+Z,H+R+S,H+R+S without Z,H+R+E+Z+S,"H+R, only",H+R+E without Z,H+R+E+Z,H+R+S,H+R+S without Z,H+R+E+Z+S,Z+S+Lfx+Eto+Cs+PAS,S+Lfx+Eto+Cs+PAS,Km+Lfx+Eto+Cs+PAS,Z+S+Lfx+Eto+Cs+PAS,S+Lfx+Eto+Cs+PAS,Km+Lfx+Eto+Cs+PAS,Z+S+Lfx+Eto+Cs+PAS,S+Lfx+Eto+Cs+PAS,Km+Lfx+Eto+Cs+PAS,,,,used in column BG,used in column BD,used in column BG,used in column BD,,,,,used in column O,used in column O,,,,used in column p,used in column q
"This model considers three variations of TB: Drug-Susceptible TB, Multi Drug-Resistant (MDR) TB and Extensively Drug-Resistant (XDR) TB. Totally Drug-Resistant (TDR) cases are currently not modeled given the very minimal number of cases reported so far in India, Iran and Italy. See cell comments for details.",,,"49,530,830.00",Latent TB/ HIV+,Active TB/ HIV+,Latent TB/ HIV-,Active TB/ HIV-,,,,6.581484271,e_prev_num,e_inc_num,TB patients with known HIV status (%),hivtest,hivtest_pos,"= Col O, else Cell L28", = col s * col o,= Col Q / Col P * Col S,= Col S - Col T,= Col T / Col S,= Col U / Col S, =(col O -col AH )-col AX, = col Y*col W, = col X * col Y,( Col D - Col AR - Col BD) * Col V,( Col D - Col AR - Col BD) * Col W,= Cell L39,= Cell L39, =(-col AC*((1-L23)-1))*(col AA/((1-col AC)+(col AC*(1-L23)))), =(-col AD*((1-L24)-1))*(col AB/((1-col AD)+(col AD*(1-L$24)))),(Col AN * Col N) - Col AW,mdr_new,e_new_mdr_pcnt,mdr_ret,e_ret_mdr_pcnt,= Col AH / Col AI,= Col AJ / Col AK,,= Col AN * Col M,conf_mdr_tx,= Col AP / Col AO,(Col AN * Col D) - Col BA,"116,045.04","Z+S+Lfx+Eto+Cs+PAS

=(((AS*CG)*AR*$M$24)/(1-(AR*$M$24)))/2",S+Lfx+Eto+Cs+PAS,Km+Lfx+Eto+Cs+PAS,Col AN * Col N * Cell L31,Cell L31 * Col AO,= Col AX * Col AZ,= Cell M37,Col AN * Col D * Cell L31,Col AW * Col AZ * Cell L26 * Cell L73,sum (AF + AG + AT + BC),1.35%,8.42%,,,,16.92%,,Column BE,Column BF,,Column BH,Column BI,Cell K186/((Cell K186+Cell K187+Cell K188)/(Column BL-”BK))/BL),,,,,,,,,,,,"HR, HRE",HREZ,"HRS,HRES,HREZS",,,,1,2,3,,,,number of new patients with available drug susceptibility testing,number of previous patients with available drug susceptibility testing,,,,,Country,Year,TB patients with known HIV status (%),,,country,year,hivtest,hivtest_pos
Afghanistan,EMR,"31,731,688","448,000.00",IPT,,IPT,,,Pfizer Inc,"E, Cs, PAS, Eto","10,896,060.40","100,000.0","58,000.0",26%,"8,247",9,26.00%,"15,080",16,"15,064",0.11%,99.89%,"51,981.70",56.73,"51,924.97",438.17,"401,075.63",58.00%,58.00%,321.75,"418,114.79","5,440.55",4,3.70%,15,20.00%,108.11,75.00,10.3763838%,"10,376",48,0.46%,"42,023.52",50.66,38.07,0.57,12.03,577.76,996,568,57.00%,"4,462.68",423.75,"418,910.96",88.24%,,,100.00%,,,88.24%,23.28%,88.24%,100.00%,1.24%,100.00%,24.43%,6.56%,4.80%,37.84%,15.23%,11.14%,32.77%,8.79%,6.43%,50.76%,0.72%,0.52%,71.65%,1.11%,27.24%,88.20%,1.21%,10.59%,75.13%,1.13%,23.74%,100.00%,country,year,dst_rlt_new,dst_rlt_ret,mdr_new,mdr_ret,,A,Afghanistan,2013,26,0.26,,Afghanistan,2013,8247,9
Albania,EUR,"2,895,092",900.00,IPT,2HRZE/4HR,IPT,2HRZE/4HR,,Merck,"S, Z","10,857,486.68",850.0,530.0,23%,109,2,23.00%,122,2,120,1.83%,98.17%,526.93,9.67,517.26,16.42,878.36,58.00%,58.00%,12.06,915.68,2.78,1,0.0058,0,0,172.41,,0.5800000%,5,0,0.00%,4.72,0.00,0.00,0.00,0.00,0.30,0,0,57.00%,0.50,0.05,927.78,0.00%,,,3.70%,,,0.00%,0.00%,0.00%,3.70%,1.89%,3.70%,0.00%,0.00%,0.00%,0.00%,,,16.23%,4.36%,3.19%,25.15%,29.49%,21.58%,13.33%,9.75%,76.92%,28.20%,7.01%,64.80%,28.20%,7.01%,64.80%,100.00%,Afghanistan,2013,4,17,4,15,,A,Albania,2013,23,0.23,,Albania,2013,109,2
Algeria,AFR,"38,338,562","61,900.00",IPT,2HRZE/4HR,,2HRZE/4HR,,F. Hoffmann-La Roche Ltd,H,"10,842,565.11","49,000.0","26,000.0",,,,46.00%,"11,960","1,555","10,405",13.00%,87.00%,"22,812.27","2,965.60","19,846.68","7,060.40","47,250.36",58.00%,58.00%,"5,184.48","49,257.72","2,881.71",,0.014,,0.091,,,12.2604955%,"6,008",,0.00%,"6,860.68",0.00,0.00,0.00,0.00,306.02,577,329,57.00%,728.57,69.18,"54,511.39",,,,,,,42.54%,7.90%,10.45%,36.23%,1.20%,2.12%,8.10%,2.17%,1.59%,12.54%,43.66%,31.94%,14.40%,3.86%,2.83%,22.31%,32.69%,23.92%,68.65%,2.15%,29.19%,73.72%,2.70%,23.59%,,,,0.00%,Albania,2013,27,4,1,0,,A,Andorra,2013,20,0.2,,Algeria,2013,,
American Samoa,WPR,"55,307",,IPT,2HRZE/4HR,IPT,2HRZE/4HR,,Sanofi,R,"10,842,565.11",5.2,4.0,,,,46.00%,2,0,2,13.00%,87.00%,3.51,0.46,3.05,0.00,0.00,58.00%,58.00%,0.00,0.00,0.44,,0.045,,0.24,,,12.2604955%,1,,0.00%,0.00,0.00,0.00,0.00,0.00,0.05,0,0,57.00%,0.00,0.00,0.00,,,,,,,14.14%,4.36%,11.13%,7.77%,0.66%,2.48%,20.19%,5.42%,3.97%,31.29%,22.60%,16.53%,24.40%,6.55%,4.79%,37.80%,15.28%,11.18%,48.93%,4.25%,46.82%,42.58%,6.14%,51.29%,,,,0.00%,Algeria,2013,,,,,,A,Angola,2013,40,0.4,,American Samoa,2013,,
Andorra,EUR,"80,788",0.00,IPT,2HRZE/4HR,IPT,2HRZE/4HR,,Daichii Sankyo,"Ofx, Lfx","20,927.80",6.5,6.0,20%,1,1,20.00%,1,1,0,100.00%,0.00%,5.26,5.26,0.00,0.00,0.00,58.00%,58.00%,0.00,0.00,0.67,0,0,0,0,,,12.2604955%,1,0,0.00%,0.00,0.00,0.00,0.00,0.00,0.07,0,0,57.00%,0.00,0.00,0.00,,,,0.00%,0.00%,0.00%,24.88%,8.96%,18.12%,0.00%,0.00%,0.00%,16.78%,4.50%,3.30%,26.00%,28.54%,20.88%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,55.65%,2.90%,41.46%,13.33%,9.75%,76.92%,,,,0.00%,American Samoa,2013,,,,,,A,Antigua and Barbuda,2013,82,0.82,,Andorra,2013,1,1
Angola,AFR,"25,998,340","396,600.00",IPT,,,,,Eli Lilly,Cm,"6,192.08","91,000.0","88,000.0",40%,"24,445","2,674",40.00%,"35,200","3,850","31,350",10.94%,89.06%,"70,400.00","7,700.94","62,699.06","34,706.76","282,573.24",58.00%,58.00%,"25,485.33","294,577.99","15,910.40",0,0.019,116,0.2,,580.00,20.0000000%,"18,200",116,0.64%,"71,705.28",119.22,99.42,1.36,18.44,"1,689.60","1,747",996,57.00%,"7,614.72",723.05,"320,905.59",100.00%,,,,,,100.00%,7.90%,100.00%,36.23%,1.20%,2.12%,30.56%,8.20%,6.00%,47.34%,4.56%,3.34%,14.40%,3.86%,2.83%,22.31%,32.69%,23.92%,83.39%,1.14%,15.47%,73.72%,2.70%,23.59%,83.39%,1.14%,15.47%,100.00%,Andorra,2013,4,0,0,0,,A,Argentina,2013,18,0.18,,Angola,2013,24445,2674
