Disease,"  Active TB/HIV,  Treatment Regimen",  Active TB/HIV- Treatment Regimen,  MDR-TB Treatment Regimen,,,  XDR-TB Treatment Regimen,total impact,Malaria (p.falc),,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,Malaria,HIV,,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,Worms,,,,Schistosomiasis,,LF,,,Total
Original,"isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).","isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).","Z, S, Lfx, Eto, Cs, PAS","S, Lfx, Eto, Cs, PAS","Km, Lfx, Eto, Cs, PAS","Cs,  Km(or)Amk(or)Cm, Lfx(or)Moxifloxacin (Mfx)(or)Gfx(or)Ofx",,Impact of AL,Impact of AS+SP,Impact of DHA-PPQ,Impact of AS+MQ,Impact of AS+AQ,Impact of CQ + PQ,Impact of DHA-PPQ + PQ,Impact of ART +  Naphthoquine (NQ), +,Impact of AL + PQ,Impact of SP,Impact of AS + MQ + PQ,Impact of Quinine (QN) + CL,Impact of Quinine (QN) + D,Total Impact (p.falc),Impact of CQ+PQ,Impact of CQ,Impact of CQ + PG,Impact of AL,Impact of AL+PQ,Impact of AS + AQ,Impact of DHA-PPQ+PQ,Total Impact (p.vivax),Total Impact,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of TDF,Impact of ATV/r,Impact of NFV,Total Impact,Alb,Mbd,Ivm+Alb,Alb,Mbd,Alb,Mbd,Ivm+Alb,Impact of Roundworm,Impact of Hookworm,Impact of Whipworm,Total Impact,PZQ,Total Impact,Impact of Single dose of DEC (6mg/kg)+ALB(400mg),Impact of Combination of ALB(400mg)+IVM(400ug/kg),Total Impact,
Codeable,"INH, RMP, EMB, PZA","INH, RMP, EMB, PZA","Z, S, Lfx, Eto, Cs, PAS","S, Lfx, Eto, Cs, PAS","Km, Lfx, Eto, Cs, PAS","Cs, Km, Amk, Cm, Lfx, Moxifloxacin (Mfx), Gfx, Ofx",,  AL,Artesunate / Sulfadoxine-pyrimethamine (AS + SP),  DHA-PPQ,"  AS, MQ",Artesunate/Amodiaquine (AS + AQ),Chloroquine + Primaquine (CQ + PQ),"  DHA-PPQ, PQ","  ART,  Naphthoquine (NQ)",Artemisinin + Piperaquine (ART + PPQ),"  AL, PQ",  SP,Artesunate + Mefloquine + Primaquine (AS + MQ + PQ),"  Quinine (QN), CL","  Quinine (QN), D",,"Chloroquine ,  Primaquine (CQ ,  PQ)",  CQ,"Chloroquine ,  Primaquine (CQ ,  PQ)",  AL,"  AL, PQ",Artesunate/Amodiaquine (AS + AQ),"  DHA-PPQ, PQ",,,  3TC,  ABC,  AZT,  ddl,  d4T,  EFV,  FTC,  LPV/r,  NVP,  TDF,  ATV/r,  NFV,,Alb,Mbd,"Ivm, Alb",Alb,Mbd,Alb,Mbd,"Ivm, Alb",,,,,PZQ,," DEC, ALB","ALB, IVM",,
Output,"Isoniazid (H or INH), RIfampicin (R or RMP), Ethambutol (E or EMB), Pyrazinamide (Z or PZA)","Isoniazid (H or INH), RIfampicin (R or RMP), Ethambutol (E or EMB), Pyrazinamide (Z or PZA)","Pyrazinamide (Z or PZA),  Streptomycin (S or STR), Levofloxacin (Lfx), Ethionamide (Eto), Cycloserine (Cs), P-Aminosalicylic Acid (PAS)","Streptomycin (S or STR), Levofloxacin (Lfx), Ethionamide (Eto), Cycloserine (Cs), P-Aminosalicylic Acid (PAS)","Kanamycin (KM), Levofloxacin (Lfx), Ethionamide (Eto), Cycloserine (Cs), p-aminosalicylic acid (PAS)","Cycloserine (Cs), Kanamycin (Km), Amikacin (Amk), Capreomycin (Cm), Levofloxacin (Lfx), Moxifloxacin (Mfx), Gatifloxacin (Gfx), Ofloxacin (Ofx)",,Artemether-Lumefantrine (AL),Artesunate / Sulfadoxine-pyrimethamine (AS + SP),DHA-Piperaquine (DHA-PPQ),"Artesunate (AS), Mefloquine (MQ)",Artesunate/Amodiaquine (AS + AQ),Chloroquine + Primaquine (CQ + PQ),"DHA-Piperaquine (DHA-PPQ), Primaquine (PQ)","Artemisinin (ART),  Naphthoquine (NQ)",Artemisinin +  Piperaquine (ART + PPQ),"Artemether-Lumefantrine (AL), Primaquine (PQ)",Sulfadoxine-pyrimethamine (SP),Artesunate + Mefloquine + Primaquine (AS + MQ + PQ),"Quinine (QN), Clarithromycin (CL)","Quinine (QN), Doxycycline (D)",,Chloroquine + Primaquine (CQ + PQ),Chloroquine (CQ),"Chloroquine ,  Primaquine (CQ ,  PQ)", Artemether-Lumefantrine (AL),"  Artemether-Lumefantrine (AL), Primaquine (PQ)",Artesunate/Amodiaquine (AS + AQ),"DHA-Piperaquine (DHA-PPQ), Primaquine (PQ)",,,Lamivudine (3TC),Abacavir (ABC),Zidovudine (AZT),Didanosine (ddl),Stavudine (d4t),Efavirenz (EFV),Emtricitabine (FTC),Lopinavir / Ritonavir (LPV/r),Nevirapine (NVP),Tenofovir (TDF),Atazanavir/Ritonavir (ATV/r),Nelfinavir (NFV),, Albendazole (ALB), Mebendazole (MBD)," Ivermectin (Ivm), Albendazole (Alb)", Albendazole (ALB), Mebendazole (MBD), Albendazole (ALB), Mebendazole (MBD)," Ivermectin (Ivm), Albendazole (Alb)",,,,,Praziquantel (PZQ),,"Diethylcarbamazine (DEC), Albendazole (ALB)","Albendazole (ALB), Ivermectin (IVM)",,
Afghanistan,138.45,"547,006.04",0,0,0,104.64,"547,249.13",0,"4,001.12",0,0,0,0,0,0,0,0,0,0,0,0,"4,001.12","39,109.15",0,0,0,0,0,0,"39,109.15","43,110.27",8.66,0.01,3.56,0,3.87,3.76,0.55,0.06,5.4,1.78,0,0,27.64, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"594,388.16"
Albania,0,"3,016.78",0,0,0,0.09,"3,016.88",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19,0.17,0.4,0,0.63,0.37,0,0.13,0.67,0,0,0,3.55, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"3,020.43"
Algeria,"16,740.65","85,692.45",7.28,1.13,16.12,71.82,"102,529.44",0.31,0.27,0.31,0.31,0.27,0.1,0.26,0.31,0.29,0.26,0.1,0.28,0.26,0.28,3.6,0,0,0,0,0,0,0,0,3.6,949.83,6.7,388.96,0,428.46,399.9,55.63,10.09,594.47,181.33,0,0,"3,015.36", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"105,552.01"
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0
Andorra,0,31.8,0,0,0,0.02,31.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,31.82
Angola,"136,855.46","105,142.66",0.72,0.11,1.64,202.88,"242,203.47","1,703.58",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,703.58",0,0,0,0,0,0,0,0,"1,703.58","14,997.10",193.33,"6,101.19",0,"6,808.11","6,229.02",835.96,222.29,"9,352.68","2,730.42",0,0,"47,470.11", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,604.54,604.54,,  -   ,  -   ,"293,685.28"
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0
Antigua and Barbuda,21.31,6.52,0,0,0,0.03,27.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64,0.09,2.95,0.02,0.17,2.41,0.25,0.47,0.63,0.69,0.39,0.01,11.72, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,39.58
Argentina,"15,326.58","15,657.76",0,0,0,25.23,"31,009.56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0.98,351.4,8.8,280.61,0.44,17.44,242.3,25.34,38.69,56.37,70.33,39.56,0.26,"1,131.55", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"32,142.09"
Armenia,70.92,"7,813.62",24.05,3.72,62.78,3.42,"7,978.51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.28,0.04,32.71,0,35.49,33.92,4.9,0.47,49.8,15.95,0,0,252.55, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"8,231.05"
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0
Australia,70.08,"2,955.47",4.14,0.64,6.63,0.23,"3,037.19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.71,0.09,9.76,0,10.67,9.97,1.4,0.2,14.92,4.58,0,0,75.3, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"3,112.49"
Austria,360.67,"1,846.20",2.49,0.39,4.68,0.26,"2,214.69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.12,0.3,0,0.46,0.27,0,0.09,0.5,0,0,0,2.63, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"2,217.32"
Azerbaijan,191.18,"38,012.84",26.47,4.1,92.37,31.45,"38,358.41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0.1,128.52,0.05,53.08,0,57.58,54.76,7.89,0.74,80.91,25.71,0,0,409.24, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"38,767.74"
Bahamas,90.92,147.71,0,0,0,0.19,238.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,238.82
