Disease,"Active TB/HIV, Treatment Regimen",Active TB/HIV- Treatment Regimen,MDR-TB Treatment Regimen,,,XDR-TB Treatment Regimen,Total Impact,Malaria (p.falc),,,,,,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,Malaria,HIV,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,,,,Worms,Schistomasis,,Onchocerciasis,,LF,,,Total
Original,"isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).","isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).","Z, S, Lfx, Eto, Cs, PAS","S, Lfx, Eto, Cs, PAS","Km, Lfx, Eto, Cs, PAS","Cs, Km(or)Amk(or)Cm, Lfx(or)Moxifloxacin (Mfx)(or)Gfx(or)Ofx",,AL,AL+PQ,AM,ART+ Naphthoquine (NQ),ART+PPQ,AS+AQ,AS+MQ,AS+MQ+PQ,AS+SP,AS+SP+PQ,AT+PG,CQ+PQ,DHA-PPQ,DHA-PPQ+PQ,PQ,Quinine (QN),Quinine (QN)+CL,Quinine (QN)+D,Total Impact (p.falc),CQ + PQ,CQ,DHA-PPQ,AL,AL + PQ,AS + AQ + PQ,Total Impact (p.vivax),Total Impact,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of ATV/r,Impact of TDF,Total Impact,Alb,Mbd,Ivm+Alb,Alb,Mbd,Alb,Mbd,Ivm+Alb,Impact of Roundworm,Impact of Hookworm,Impact of Whipworm,Total Impact,PZQ,Total Impact,Impact of Ivermectin,Total Impact,Impact of Single dose of DEC (6mg/kg)+ALB(400mg),Impact of Combination of ALB(400mg)+IVM(400ug/kg),Total Impact,
Codeable,"INH, RMP, EMB, PZA","INH, RMP, EMB, PZA","Z, S, Lfx, Eto, Cs, PAS","S, Lfx, Eto, Cs, PAS","Km, Lfx, Eto, Cs, PAS","Cs, Km, Amk, Cm, Lfx, Moxifloxacin (Mfx), Gfx, Ofx",,AL,"AL, PQ",AM,"ART, Naphthoquine (NQ)","ART, PPQ","AS, AQ","AS, MQ","AS, MQ, PQ","AS, SP","AS, SP, PQ","AT, PG","CQ, PQ",DHA-PPQ,"DHA-PPQ, PQ",PQ,Quinine (QN),"Quinine (QN), CL","Quinine (QN), D",,"CQ , PQ",CQ,DHA-PPQ,AL,"AL , PQ","AS , AQ , PQ",,,3TC,ABC,AZT,ddl,d4T,EFV,FTC,LPV/r,NVP,ATV/r,TDF,,Alb,Mbd,"Ivm, Alb",Alb,Mbd,Alb,Mbd,"Ivm, Alb",,,,,PZQ,,Ivermectin,,"DEC, ALB","ALB, IVM",,
Output,"Isoniazid (H or INH), RIfampicin (R or RMP), Ethambutol (E or EMB), Pyrazinamide (Z or PZA)","Isoniazid (H or INH), RIfampicin (R or RMP), Ethambutol (E or EMB), Pyrazinamide (Z or PZA)","Pyrazinamide (Z or PZA), Streptomycin (S or STR), Levofloxacin (Lfx), Ethionamide (Eto), Cycloserine (Cs), P-Aminosalicylic Acid (PAS)","Streptomycin (S or STR), Levofloxacin (Lfx), Ethionamide (Eto), Cycloserine (Cs), P-Aminosalicylic Acid (PAS)","Kanamycin (KM), Levofloxacin (Lfx), Ethionamide (Eto), Cycloserine (Cs), p-aminosalicylic acid (PAS)","Cycloserine (Cs), Kanamycin (Km), Amikacin (Amk), Capreomycin (Cm), Levofloxacin (Lfx), Moxifloxacin (Mfx), Gatifloxacin (Gfx), Ofloxacin (Ofx)",,Artemether-Lumefantrine (AL),"Artemether-Lumefantrine (AL), Primaquine (PQ)",Artemether (AM),"Artemisinin (ART), Naphthoquine (NQ)",Artemisinin + Piperaquine (ART + PPQ),Artesunate/Amodiaquine (AS + AQ),"Artesunate (AS), Mefloquine (MQ)",Artesunate + Mefloquine + Primaquine (AS + MQ + PQ),Artesunate / Sulfadoxine-pyrimethamine (AS + SP),Artesunate + Sulfadoxine + Primaquine (AS + SP + PQ),"Atovaquone + Proguanil
(AT + PG)",Chloroquine + Primaquine (CQ + PQ),DHA-Piperaquine (DHA-PPQ),"DHA-Piperaquine (DHA-PPQ), Primaquine (PQ)",Primaquine (PQ),Quinine (QN),"Quinine (QN), Clarithromycin (CL)","Quinine (QN), Doxycycline (D)",,Chloroquine + Primaquine (CQ + PQ),Chloroquine (CQ),DHA-Piperaquine (DHA-PPQ),Artemether-Lumefantrine (AL),"Artemether-Lumefantrine (AL), Primaquine (PQ)",Artesunate + Amodiaquine + Primaquine (AS + AQ + PQ),,,Lamivudine (3TC),Abacavir (ABC),Zidovudine (AZT),Didanosine (ddl),Stavudine (d4t),Efavirenz (EFV),Emtricitabine (FTC),Lopinavir / Ritonavir (LPV/r),Nevirapine (NVP),Atazanafir/Ritonavir (ATV/r),Tenofovir (TDF),,Albendazole (ALB),Mebendazole (MBD),"Ivermectin (Ivm), Albendazole (Alb)",Albendazole (ALB),Mebendazole (MBD),Albendazole (ALB),Mebendazole (MBD),"Ivermectin (Ivm), Albendazole (Alb)",,,,,Praziquantel (PZQ),,Ivermectin (IVM),,"Diethylcarbamazine (DEC), Albendazole (ALB)","Albendazole (ALB), Ivermectin (IVM)",,
Afghanistan,"22,260.51","141,988.63","9,791.58",140.22,"3,447.06",479.68,"178,107.68",0,0,0,0,0,0,0,0,0,"1,719.98",0,0,0,0,0,0,0,0,"1,719.98","32,635.44",0,0,0,0,0,"32,635.44","34,355.41",35.67,3.48,15.83,0.1,0.52,21.36,7.06,4.61,16.43,0.41,23.75,129.23,,,,,,,,,0,0,0,0,,0,,0,,,0,"212,592.32"
Albania,44.51,283.92,10.49,0.21,3.05,0.49,342.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,342.68
Algeria,"6,981.88","44,533.92","1,157.23",15.83,199.95,49.23,"52,938.04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.17,3.71,70.8,0.09,0.46,140.01,49.13,15.75,77.09,2.51,164.99,710.73,,,,,,,,,0,0,0,0,,0,,0,,,0,"53,648.77"
American Samoa,3.73,23.81,0,0,0,0,27.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,27.54
Andorra,1.09,6.95,0,0,0,0.01,8.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0.07,0,0,0.14,0.05,0.01,0.07,0,0.17,0.69,,,,,,,,,0,0,0,0,,0,,0,,,0,8.74
Angola,"38,591.04","246,152.91",0,0,0,0,"284,743.95","253,448.86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"253,448.86",0,0,0,0,0,0,0,"253,448.86","1,085.33",84.82,466.43,2.46,12.55,689.47,232.4,128.13,489.16,13.09,780.41,"3,984.25",,,,,,,,,0,0,0,0,192.22,192.22,1.25,1.25,,84.67,84.67,"542,455.19"
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,0
